,카테고리,상품명,가격
0,라운드넥티셔츠,((단하루 10%+10%쿠폰)) 시크릿무드 역마진 파격SALE/바람막이/자켓/원피스/니트/팬츠 외 미시룩BEST,"9,900원"
1,바디케어,온더바디 발을씻자 코튼풋샴푸 자몽향 385ml 4개,"19,900원"
2,패밀리레스토랑,(빕스) 15 000원 스프링 바우처 / 3월 19일부터 사용가능,"1,500원"
3,런닝세트,(무료반품/9950원/5매)트라이 스탠다드 베이직 남성 5번들 런닝 무료배송 (10+5% 쿠폰),"11,700원"
4,초등참고서,키즈 원리셈/ 원리셈 세트,"41,310원"
5,전복,더줌 전복 11-13미 1kg 쿠폰가 23700,"39,500원"
6,유아동상하복세트,키즈꼬모x저스틴23 봄맞이 신상 등원룩/나들이룩 상하복세트 초특가전,"9,900원"
7,유아동티셔츠,10+5%쿠폰할인/24봄신상 신학기 한정수량 단독특가/가디건/상하복/원피스 외 1개만 사도 무배~,"10,900원"
8,기타수산가공식품,착한낙지 매콤~칼칼 착한낙지 135g x 6팩+비법소스 6팩,"23,920원"
9,기타생활잡화,2개 헤드앤숄더 클리니컬 스트렝스 비듬방지 샴푸 3종 초록 보라 주황 400ml,"30,570원"
10,찌개/찜,G)사미헌 갈비탕5팩 (1팩1kg총 5kg),"56,550원"
11,면바지/밴딩팬츠,(10%+10%쿠폰) 3920원~봄신상BEST 와이드팬츠 빅사이즈~5XL 트레이닝/데님/조거/청바지/남녀공용 50종 택1,"8,700원"
12,물티슈,NEW 런칭 고평량 로얄 물티슈 75g 70매 캡 20팩,"24,370원"
13,유아동상하복세트,(신세계강남점)시원하고 부드러운 반팔 쿨티셔츠 + 우븐 5부팬츠 쿨 세트 BKS체키5부세트,"24,020원"
14,유아동점퍼,(신세계본점)정상가 49000원 키즈 라글란 티셔츠 DKRL22031,"24,800원"
15,스포츠양말,쿠폰가4950원(개당1650원) 바쏘/PAT외 남성 캐주얼 정장 신사 골프 스포츠 발목 장목 양말세트모음 무료배송,"5,500원"
16,화장지,오늘 천연펄프 3겹 30M 30롤 3개 화장지 휴지 롤휴지,"34,900원"
17,어린이/청소년,웅진/ 재미만만 한국사 세트(전20권),"168,000원"
18,유아,핑키밍키_시지각훈련프로그램 세트 선택구매,"56,700원"
19,유아손세정제,쿠폰가 10900원) 아이깨끗해 2250ml 스페셜 에디션 릴리/화이트 450ml 리필 x 5개(개당 2180원/옵션선택),"12,820원"
20,트레이닝하의,((10+5%쿠폰 오늘만 역마진SALE)) 데이뮤즈 봄신상 트위드자켓/트렌치코트/자켓/팬츠/맨투맨/가디건/원피스,"12,900원"
21,우유,멸균우유 1000ml x 10입 (1박스),"20,000원"
22,유아,(EBS미디어) 한글용사 아이야 기본음절+받침글자+복잡한자음+모음세트 전10권,"63,000원"
23,전집/세트,핫딜특가) 잠자리동화 으스스 몬스터 시리즈 5권 세트 베드타임스토리/육퇴효자템,"19,800원"
24,기타게임/퍼즐,인기게임212종모음 루미큐브 할리갈리 러시아워 카탄,"27,000원"
25,치약,쿠폰적용가 39980원덴티스테 뉴 플러스화이트 200g x 4개 + 신제품 안티캐비티 20g 샘플 2개 추가증정,"44,980원"
26,라운드넥티셔츠,다바걸 10%+5%단독쿠폰 24SS 최신상 티셔츠/트위드/자켓/슬랙스/자체제작/셔츠 (made)두근두근유넥티,"18,000원"
27,맨투맨/후드티셔츠,NFL 봄 SALE FESTA 맨투맨/티셔츠/팬츠 BEST 단하루 특가전,"22,040원"
28,기타헤어케어용품,닥터시드 대용량 샴푸/트리트먼트/바디워시/탈모샴푸 1000ml 1+1개/기프티콘+사은품 증정,"23,000원"
29,칫솔,부광 얇은헤드 칫솔 초극세모 12입 X 3세트,"16,900원"
30,청바지,BNX/머스트비外 봄 오픈 특가 신상부터 BEST까지 최대90%할인,"21,000원"
31,유아,(특가) 스마일북스 베스트 차일드애플 1 2 : 옵션선택 유아 창작동화 그림책 베스트셀러,"34,560원"
32,고구마,(15%+10%즉할)꿀고구마 해남 황토 대사이즈 3kg 내외 맛젤 튀김용 2023년 수확,"11,700원"
33,우유,멸균우유 200ml 24입+24입 (2박스),"27,780원"
34,라운드넥반팔티,15+12% 1+1+1 디커버스 프린팅/무지티 3장세트 장 당 5천원대 반팔티/무지티/쿨티/여성/남자/옷,"21,800원"
35,라운드넥티셔츠,20+5%쿠폰 단독특가 루나샵 주문폭주 봄신상/맨투맨/티셔츠/빅사이즈/오버핏/니트,"15,900원"
36,메가박스,(유니버스클럽 전용 쿠폰적용가 5천원) 메가박스 일반예매권 2D-주중/주말,"15,000원"
37,물티슈,베베숲 시그니처 블루 에코 휴대 20매 캡 12팩 75gsm 생분해원단/레이온 100%,"13,110원"
38,우유,멸균우유 200ml x 24입 (1박스),"16,900원"
39,립밤/립케어,유리아쥬 스틱레브르 오리지널 4g 2개SET 오늘까지 앵콜특가,"16,000원"
40,셔츠/남방,15%쿠폰 에잇세컨즈와 함께하는 따뜻한 봄 옷장 준비 자켓/팬츠外,"12,900원"
41,유아세제,1+1/2set구매시무배) 비앤비 프리미엄 세탁세제 / 알러지케어 유연제/ 2set구매시1개당2790원,"6,000원"
42,우유,파스퇴르 무항생제 바른목장우유 190mL48팩,"34,900원"
43,라운드넥니트,(20%+5%쿠폰) 홈쇼핑BEST 봄신상+55~99 빅사이즈 대박SALE 80종 택1 주름셔츠블라우스 외 인기상품 모음,"9,900원"
44,탄산/기능성음료,코카콜라 190ml x 60CAN,"43,800원"
45,유아동상하복세트,바브키즈 최대 15% 쿠폰 봄상품 출시 상하복 모음,"12,900원"
46,면/마/린넨원피스,(5+10%쿠폰가9180원~)핫핑/빅사이즈/44~110/봄신상BEST/자켓/트렌치/니트/원피스/가디건/블라우스/맨투맨,"19,300원"
47,과일,(20%+NH카드10%즉할)빨간 사과 햇 부사 한입사과 2.5KG (12-18과) 스마일배송,"16,880원"
48,유아,꼬마대통령 - 개구쟁이 특공대 (전13권),"69,420원"
49,초등참고서,하루한장 초등 시리즈 골라담기 예비초등 국어 수학 한자 한국사,"14,000원"
