순위,노래 제목,아티스트,좋아요
1,나는 아픈 건 딱 질색이니까,(여자)아이들,"74,420"
2,밤양갱,비비 (BIBI),"115,716"
3,첫 만남은 계획대로 되지 않아,TWS (투어스),"92,451"
4,EASY,LE SSERAFIM (르세라핌),"56,498"
5,Love wins all,아이유,"147,229"
6,비의 랩소디,임재현,"60,518"
7,To. X,태연 (TAEYEON),"134,927"
8,홀씨,아이유,"43,144"
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),"89,097"
10,천상연,이창섭,"26,020"
11,Love 119,RIIZE,"88,670"
12,Smart,LE SSERAFIM (르세라핌),"25,656"
13,Perfect Night,LE SSERAFIM (르세라핌),"111,182"
14,에피소드,이무진,"62,850"
15,헤어지자 말해요,박재정,"166,771"
16,Drama,aespa,"82,544"
17,사랑은 늘 도망가,임영웅,"211,171"
18,인사,범진,"102,120"
19,예뻤어,DAY6 (데이식스),"285,676"
20,한 페이지가 될 수 있게,DAY6 (데이식스),"248,605"
21,Seven (feat. Latto) - Clean Ver.,정국,"206,433"
22,꿈,태연 (TAEYEON),"32,502"
23,Shopper,아이유,"36,848"
24,WAY 4 LUV,PLAVE,"33,283"
25,Super Lady,(여자)아이들,"31,213"
26,I AM,IVE (아이브),"211,503"
27,MANIAC,VIVIZ (비비지),"48,877"
28,모래 알갱이,임영웅,"58,638"
29,우리들의 블루스,임영웅,"103,712"
30,Wife,(여자)아이들,"30,402"
31,Love Lee,AKMU (악뮤),"119,721"
32,너의 모든 순간,성시경,"293,495"
33,사랑인가 봐,멜로망스,"204,186"
34,Do or Die,임영웅,"41,064"
35,다시 만날 수 있을까,임영웅,"84,463"
36,Get A Guitar,RIIZE,"86,912"
37,이제 나만 믿어요,임영웅,"173,995"
38,Watch Me Woo!,PLAVE,"24,388"
39,무지개,임영웅,"73,278"
40,우리 영화,PLAVE,"24,122"
41,Hype Boy,NewJeans,"286,824"
42,사막에서 꽃을 피우듯,우디 (Woody),"82,843"
43,Welcome to the Show,DAY6 (데이식스),"17,807"
44,From,PLAVE,"23,235"
45,Baddie,IVE (아이브),"67,251"
46,아버지,임영웅,"59,132"
47,London Boy,임영웅,"60,286"
48,Polaroid,임영웅,"54,269"
49,봄날,방탄소년단,"559,801"
50,Super Shy,NewJeans,"160,988"
