,영상이름,링크
0,DRX vs GEN - NS vs T1 | 2024 LCK Spring Split,https://www.youtube.com/watch?v=eaxEfNvp8qI&pp=ygUCdDE%3D
1,DRX vs GEN - NS vs T1 | 2024 LCK 스프링 스플릿,https://www.youtube.com/watch?v=yK0corJwYI0&pp=ygUCdDE%3D
2,KDF vs NS - T1 vs BRO | 2024 LCK 스프링 스플릿,https://www.youtube.com/watch?v=hdotLWYuVso&pp=ygUCdDE%3D
3,"만약에... 우리가 다시 프로를 한다면 어떨까? | Wolf's Talk Wave (Feat. BANG, UNTARA, BLANK)",https://www.youtube.com/watch?v=kSWPj4MFYK4&pp=ygUCdDE%3D
4,🔥🔥이젠.. 매 게임이 결승이야😲😲 | 8주차｜울슐랭 가이드 24' 스프링 EP. 07,https://www.youtube.com/watch?v=kyQMrjNGo9g&pp=ygUCdDE%3D
5,추억의 피카츄-☆ 돈까스 쌓아 놓고 떡볶이랑,https://www.youtube.com/watch?v=d1HXNLgmF5U&pp=ygUCdDE%3D
6,좋은 소식에 또 좋은 소식 [레이스 돌아보기 : 사우디아라비아],https://www.youtube.com/watch?v=pQjxdpiQSPc&pp=ygUCdDE%3D
7,한화생명 전차의 오렌지와 같은 넛신│2R T1 vs HLE│2024 LCK SPRING│울챔스 하이라이트,https://www.youtube.com/watch?v=UL2KksxF3UI&pp=ygUCdDE%3D
8,🔥LCK 플옵권 끝나지 않았다!? T1 vs HLE 리뷰🔥 [2024 스프링 8주차 찍어X3],https://www.youtube.com/watch?v=i6pfS-D1ZiE&pp=ygUCdDE%3D
9,TYLER1: RIVEN IS NOT THAT HARD XD,https://www.youtube.com/watch?v=JEMozLTae4M&pp=ygUCdDE%3D
10,"T1 구마유시 오피셜 : 제리 포기하지 않을 거다"" 승률 75% 최근 꾸준히 제리 연습하고 있는 구마유시",https://www.youtube.com/watch?v=vzXAEgbf0EE&pp=ygUCdDE%3D
11,🍄티켓팅? 팬미팅? 직접 해봤다^모^🍄,https://www.youtube.com/watch?v=F95_pkm-svs&pp=ygUCdDE%3D
12,T1 vs. KT | 매치47 하이라이트 | 02.24 | 2024 LCK 스프링 스플릿,https://www.youtube.com/watch?v=Zr2vIpyUO0k&pp=ygUCdDE%3D
13,"레클레스의 T1 첫 도전이.. 결국 그렇게 됐습니다,,",https://www.youtube.com/watch?v=70QW4ehYFRU&pp=ygUCdDE%3D
14,"계속 때려봐 회복하면 그만이야! 무한 체력 복사 T1 제우스 ""탑 렉사이""",https://www.youtube.com/watch?v=S5cucMHswFI&pp=ygUCdDE%3D
15,이거 진짜 '끝'내주는데,https://www.youtube.com/watch?v=7ncNXy55BcQ&pp=ygUCdDE%3D
16,"뭐가 나왔다고, 거기서. 겁나 험한 게. | KDF vs. T1 게임1 하이라이트 | 03.07 | 2024 LCK 스프링 스플릿",https://www.youtube.com/watch?v=_C1I4TW-VVw&pp=ygUCdDE%3D
17,T1,https://www.youtube.com/watch?v=F2tZreXYZdo&pp=ygUCdDE%3D
18,T1 vs. HLE | 매치 76 하이라이트 | 03.15 | 2024 LCK 스프링 스플릿,https://www.youtube.com/watch?v=cMGqVhIoU6c&pp=ygUCdDE%3D
19,GEN vs NS - T1 vs HLE | 2024 LCK 스프링 스플릿,https://www.youtube.com/watch?v=tmfsh71vkOA&pp=ygUCdDE%3D
